,phrase,label,sentiment,subjectivity,language,count
the Hydrometeorological Center,the Hydrometeorological Center,ORG,-0.07604938271604937,0.271712962962963,en,9.0
TASS,TASS,ORG,-0.14460784313725486,0.11519607843137251,en,3.4000000000000004
The Ministry of Emergency Situations,The Ministry of Emergency Situations,ORG,-0.060606060606060615,0.15151515151515152,en,3.3
the Russian Ministry of Emergency Situations,the Russian Ministry of Emergency Situations,ORG,0.06666666666666667,0.06666666666666667,en,2.5
Roman Vilfand,Roman Vilfand,ORG,0.07484567901234566,0.2476851851851852,en,1.8
Vilfand,Vilfand,ORG,-0.02777777777777778,0.0,en,1.8
the Main Directorate of the Ministry of Internal Affairs of Russia,the Main Directorate of the Ministry of Internal Affairs of Russia,ORG,0.040123456790123455,0.15432098765432095,en,1.8
the State Traffic Inspectorate,the State Traffic Inspectorate,ORG,0.040123456790123455,0.15432098765432095,en,1.8
The Main Directorate of,The Main Directorate of,ORG,0.09259259259259259,0.09259259259259259,en,1.8
the Russian Hydrometeorological Center,the Russian Hydrometeorological Center,ORG,-0.05555555555555556,0.02777777777777778,en,1.8
Surgut,Surgut,ORG,0.049019607843137254,0.22549019607843135,en,1.7
Ukrainian Armed Forces,Ukrainian Armed Forces,ORG,-0.0962566844919786,0.23529411764705885,en,1.7
G5,G5,ORG,0.040106951871657755,0.0,en,1.7
the Federal Research Center,the Federal Research Center,ORG,-0.05,0.0,en,1.0
The Belarusian Ministry of Energy,The Belarusian Ministry of Energy,ORG,0.0,0.0,en,1.0
the Russian Academy of Sciences,the Russian Academy of Sciences,ORG,-0.05,0.0,en,1.0
the Unified Geophysical Service,the Unified Geophysical Service,ORG,-0.05,0.0,en,1.0
The Hydrometeorological Center,The Hydrometeorological Center,ORG,-0.1,0.0,en,1.0
The Ministry of Energy,The Ministry of Energy,ORG,0.0,0.0,en,1.0
Belhydromet,Belhydromet,ORG,0.06666666666666665,0.0,en,1.0
Russian Railways (RZD,Russian Railways (RZD,ORG,0.0,0.0,en,1.0
Caliphate,Caliphate,ORG,-0.75,0.0,en,1.0
"the Crescent, Execution of a Superstar and Swimming","the Crescent, Execution of a Superstar and Swimming",ORG,0.0,0.0,en,1.0
the Belarusian NPP,the Belarusian NPP,ORG,0.0,0.0,en,1.0
Zelenogradsk,Zelenogradsk,ORG,0.0,0.0,en,1.0
the Ukrainian Armed Forces,the Ukrainian Armed Forces,ORG,0.0,0.0,en,1.0
the Armed Forces of Ukraine,the Armed Forces of Ukraine,ORG,0.0,0.0,en,1.0
Cheburashka,Cheburashka,ORG,0.0,0.0,en,1.0
SUSK,SUSK,ORG,-0.3333333333333333,0.0,en,1.0
THE RF ARMY,THE RF ARMY,ORG,0.3,0.0,en,1.0
the Solar Astronomy Laboratory,the Solar Astronomy Laboratory,ORG,0.0,0.0,en,1.0
the Space Research Institute,the Space Research Institute,ORG,0.0,0.0,en,1.0
IKI,IKI,ORG,0.0,0.0,en,1.0
Karabash,Karabash,ORG,-0.3,0.0,en,1.0
microdistricts,microdistricts,ORG,-0.3,0.0,en,1.0
SVO,SVO,ORG,-0.2125,0.0,en,1.0
The New York Times,The New York Times,ORG,0.13636363636363635,0.0,en,1.0
the Ministry of Health,the Ministry of Health,ORG,0.45,0.0,en,1.0
Hydrometeorological,Hydrometeorological,ORG,-0.05,0.0,en,1.0
Ural Dumplings,Ural Dumplings,ORG,0.08614718614718615,0.0,en,1.0
Kuban,Kuban,ORG,-0.125,0.0,en,1.0
the Hydrometeorological Center Roman Vilfand,the Hydrometeorological Center Roman Vilfand,ORG,0.15000000000000002,0.0,en,1.0
Hydrometeorological Center,Hydrometeorological Center,ORG,-0.1,0.0,en,1.0
the Department of Environmental Safety and Product Quality Management,the Department of Environmental Safety and Product Quality Management,ORG,0.0,0.0,en,1.0
the RUDN Institute of Ecology,the RUDN Institute of Ecology,ORG,0.0,0.0,en,1.0
Perm,Perm,ORG,-0.2,0.0,en,1.0
Permyakov,Permyakov,ORG,0.0,0.0,en,1.0
Ministry of Emergency Situations,Ministry of Emergency Situations,ORG,0.0,0.0,en,1.0
the Russian Cross-Country Cup,the Russian Cross-Country Cup,ORG,-0.3,0.0,en,1.0
Interfax,Interfax,ORG,0.16805555555555554,0.0,en,1.0
The Main Directorate of the Ministry of Emergency Situations of,The Main Directorate of the Ministry of Emergency Situations of,ORG,0.1515151515151515,0.0,en,1.0
METEO,METEO,ORG,-0.1,0.0,en,1.0
​​were,​​were,ORG,0.0,0.0,en,1.0
M5,M5,ORG,-0.1638888888888889,0.0,en,1.0
Kurgan,Kurgan,ORG,0.0,0.0,en,1.0
DPS,DPS,ORG,0.0,0.0,en,1.0
PRB,PRB,ORG,0.6,0.0,en,1.0
Ilyushchev,Ilyushchev,ORG,0.0,0.0,en,1.0
Urals,Urals,ORG,-0.1,0.0,en,1.0
TNT,TNT,ORG,0.0,0.0,en,1.0
the Donetsk People's Republic (DPR,the Donetsk People's Republic (DPR,ORG,0.0,0.0,en,1.0
Zvezdanews Telegram,Zvezdanews Telegram,ORG,0.0,0.0,en,1.0
Kremlin,Kremlin,ORG,-0.18181818181818182,0.0,en,1.0
Comedy Club,Comedy Club,ORG,0.08614718614718615,0.0,en,1.0
State,State,ORG,0.0,0.0,en,1.0
the Sverdlovsk Ministry of Health,the Sverdlovsk Ministry of Health,ORG,0.0,0.0,en,1.0
the Main Directorate of the Ministry of Emergency Situations,the Main Directorate of the Ministry of Emergency Situations,ORG,0.16666666666666666,0.0,en,1.0
