domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
news.mail.ru,-0.012572767743461019,0.1608432487681546,0.30683970645367703,0.24584681282437762,170.0
vz.ru,0.041761338722283395,0.15054670476582127,0.3376591290388352,0.16335184309246245,132.0
lenta.ru,-0.03951220761405947,0.1636613999516351,0.3282151541873764,0.2662814058429996,81.0
life.ru,-0.013301321965705526,0.16473536373362507,0.36833354621025854,0.22572348420181546,73.0
www.interfax.ru,-0.011362224814168093,0.10540906661995555,0.29510342773473025,0.2093440120021111,68.0
pogoda.mail.ru,-0.02360983294231593,0.20710286302076283,0.41160895887936705,0.2044543244251419,63.0
www.youtube.com,0.054639843311061795,0.13726046216510393,0.39398722620361276,0.17270782636221527,34.0
pikabu.ru,0.09726888221206403,0.18916138329917218,0.44252219932144177,0.14155578492093024,33.0
tass.ru,-0.020782828282828285,0.08338338288883171,0.2856526806526806,0.18552532425196688,26.0
iz.ru,-0.03619918125352908,0.12408104127318356,0.37844018602170776,0.21060568564073523,23.0
www.pravda.com.ua,-0.07703463203463203,0.2913377419076058,0.3909307359307359,0.32594186658309454,11.0
www.kommersant.ru,0.06260989524878413,0.28937740049776134,0.3059647399925178,0.2452973996086977,9.0
rg.ru,-0.01178030303030302,0.08753391553023153,0.47945752164502164,0.20145835152007505,8.0
korrespondent.net,0.027003968253968252,0.14526524840504657,0.36271825396825397,0.11130139542985328,7.0
fishki.net,0.1839726631393298,0.2514058400199649,0.5737786596119929,0.22836709489114493,6.0
people.onliner.by,0.009017006802721092,0.14407530534917562,0.46173809523809517,0.17157638944090667,5.0
meduza.io,0.037773569023569015,0.026422162044380516,0.3989346590909091,0.11892075683213292,4.0
overclockers.ru,-0.017613636363636366,0.07606849077808892,0.09375,0.11967838846954228,4.0
sportmail.ru,0.09916666666666667,0.08910433958754944,0.5583333333333333,0.21842237370135265,3.0
3dnews.ru,0.05674603174603175,0.12739145978519548,0.4552579365079365,0.03100607115917207,2.0
www.ixbt.com,0.09659090909090909,0.04017652165832657,0.36363636363636365,0.1928473039599675,2.0
hi-tech.mail.ru,-0.11249999999999999,0.12374368670764581,0.2975,0.13788582233137678,2.0
auto.onliner.by,-0.01472222222222223,0.04203356977053366,0.25805555555555554,0.13710014813005839,2.0
realt.onliner.by,0.04444444444444446,0.0785674201318386,0.44861111111111107,0.06874649261535871,2.0
www.vedomosti.ru,0.125,0.1767766952966369,0.16666666666666666,0.23570226039551584,2.0
naked-science.ru,-0.10208333333333335,0.14436763449225345,0.4666666666666666,0.6599663291074443,2.0
www.eurointegration.com.ua,0.0,1.0,0.0,1.0,1.0
www.openstreetmap.org,0.0,1.0,0.0,1.0,1.0
www.yaplakal.com,0.0,1.0,0.0,1.0,1.0
www.kinopoisk.ru,0.0,1.0,0.0,1.0,1.0
autosport.com.ru,0.0,1.0,0.0,1.0,1.0
www.factroom.ru,0.0,1.0,0.0,1.0,1.0
itc.ua,0.0,1.0,0.0,1.0,1.0
www.dw.com,0.0,1.0,0.0,1.0,1.0
www.comss.ru,0.0,1.0,0.0,1.0,1.0
www.bbc.com,0.0,1.0,0.0,1.0,1.0
www.anekdot.ru,0.0,1.0,0.0,1.0,1.0
kino.mail.ru,0.0,1.0,0.0,1.0,1.0
olegmakarenko.ru,0.0,1.0,0.0,1.0,1.0
novate.ru,0.0,1.0,0.0,1.0,1.0
hi-news.ru,0.0,1.0,0.0,1.0,1.0
navalny.com,0.0,1.0,0.0,1.0,1.0
tech.onliner.by,0.0,1.0,0.0,1.0,1.0
